Category,Item,Price Per Unit,Quantity,Total Spent,Discount Applied,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Digital Wallet,Location_In-store,Location_Online
7,7,18.5,10.0,185.0,1,0,0,1,0,1
6,62,29.0,9.0,261.0,1,0,0,1,0,1
1,17,21.5,2.0,43.0,0,0,1,0,0,1
0,48,27.5,9.0,247.5,1,0,1,0,0,1
4,172,12.5,7.0,87.5,0,0,0,1,0,1
7,136,23.365911749958215,10.0,200.0,1,0,1,0,0,1
4,84,5.0,8.0,40.0,1,0,1,0,1,0
5,136,33.5,5.536379583994654,129.6525770612313,1,0,0,1,1,0
5,53,27.5,1.0,27.5,0,0,1,0,1,0
1,105,36.5,3.0,109.5,0,1,0,0,0,1
1,145,8.0,9.0,72.0,1,1,0,0,1,0
6,136,23.365911749958215,8.0,52.0,1,0,0,1,1,0
4,140,6.5,7.0,45.5,1,1,0,0,0,1
7,127,39.5,6.0,237.0,0,0,0,1,1,0
6,54,27.5,2.0,55.0,1,0,0,1,0,1
0,136,24.5,5.536379583994654,129.6525770612313,1,0,1,0,1,0
7,63,29.0,8.0,232.0,1,1,0,0,0,1
6,136,23.365911749958215,10.0,275.0,1,0,0,1,0,1
3,27,23.0,1.0,23.0,0,0,0,1,1,0
5,136,35.0,5.536379583994654,129.6525770612313,0,0,0,1,0,1
0,176,14.0,9.0,126.0,1,0,0,1,1,0
6,136,23.365911749958215,3.0,105.0,1,0,1,0,1,0
3,155,9.5,7.0,66.5,1,1,0,0,1,0
4,4,18.5,1.0,18.5,0,1,0,0,0,1
5,37,24.5,2.0,49.0,0,1,0,0,0,1
5,136,39.5,5.536379583994654,129.6525770612313,0,1,0,0,0,1
1,89,33.5,4.0,134.0,1,0,1,0,1,0
5,133,41.0,10.0,410.0,1,0,1,0,1,0
4,36,24.5,10.0,245.0,1,1,0,0,1,0
7,111,36.5,5.0,182.5,0,0,1,0,1,0
4,12,20.0,10.0,200.0,0,0,0,1,0,1
7,175,12.5,8.0,100.0,1,0,1,0,0,1
4,136,23.365911749958215,8.0,196.0,1,0,1,0,0,1
3,99,35.0,9.0,315.0,1,0,1,0,1,0
7,136,23.0,5.536379583994654,129.6525770612313,1,1,0,0,1,0
0,128,41.0,7.0,287.0,1,0,1,0,1,0
4,116,38.0,2.0,76.0,0,0,0,1,1,0
5,5,18.5,5.0,92.5,1,0,1,0,0,1
0,8,20.0,5.0,100.0,1,0,0,1,0,1
1,113,38.0,5.0,190.0,0,0,1,0,1,0
0,104,36.5,7.0,255.5,1,1,0,0,0,1
3,3,18.5,5.0,92.5,1,1,0,0,0,1
1,121,39.5,7.0,276.5,1,0,0,1,1,0
0,184,15.5,3.0,46.5,1,1,0,0,1,0
4,148,8.0,1.0,8.0,1,0,0,1,1,0
4,20,21.5,5.0,107.5,1,0,0,1,0,1
2,50,27.5,6.0,165.0,0,0,1,0,0,1
7,15,20.0,4.0,80.0,1,0,1,0,0,1
1,49,27.5,6.0,165.0,1,0,1,0,0,1
6,54,27.5,7.0,192.5,1,1,0,0,1,0
1,89,33.5,10.0,335.0,0,0,1,0,1,0
2,162,11.0,6.0,66.0,1,0,1,0,0,1
4,20,21.5,10.0,215.0,0,0,0,1,1,0
6,78,32.0,3.0,96.0,1,0,1,0,0,1
5,117,38.0,5.0,190.0,0,0,0,1,0,1
5,181,14.0,3.0,42.0,1,0,0,1,1,0
2,162,11.0,1.0,11.0,1,0,1,0,0,1
2,42,26.0,9.0,234.0,1,1,0,0,0,1
5,53,27.5,9.0,247.5,1,1,0,0,0,1
6,174,12.5,7.0,87.5,0,0,1,0,0,1
2,122,39.5,8.0,316.0,0,0,1,0,1,0
6,54,27.5,3.0,82.5,1,0,0,1,0,1
7,15,20.0,9.0,180.0,1,0,1,0,1,0
2,106,36.5,7.0,255.5,0,1,0,0,1,0
4,108,36.5,10.0,365.0,1,0,1,0,0,1
1,137,6.5,6.0,39.0,1,0,1,0,1,0
7,39,24.5,10.0,245.0,0,0,1,0,1,0
7,23,21.5,8.0,172.0,0,1,0,0,1,0
1,89,33.5,4.0,134.0,1,0,1,0,0,1
4,68,30.5,4.0,122.0,1,0,1,0,0,1
7,87,5.0,6.0,30.0,1,0,0,1,0,1
0,152,9.5,7.0,66.5,1,0,0,1,1,0
5,109,36.5,10.0,365.0,1,0,0,1,1,0
7,183,14.0,9.0,126.0,0,0,0,1,1,0
0,176,14.0,6.0,84.0,1,0,0,1,0,1
6,78,32.0,10.0,320.0,1,0,0,1,1,0
0,104,36.5,6.0,219.0,1,1,0,0,1,0
2,90,33.5,10.0,335.0,1,0,1,0,0,1
4,92,33.5,2.0,67.0,1,0,0,1,0,1
2,106,36.5,4.0,146.0,1,0,0,1,0,1
7,63,29.0,10.0,290.0,1,0,1,0,1,0
3,99,35.0,2.0,70.0,0,0,0,1,1,0
5,13,20.0,8.0,160.0,0,0,0,1,1,0
7,136,15.5,5.536379583994654,129.6525770612313,0,0,1,0,1,0
7,135,41.0,2.0,82.0,1,0,1,0,0,1
4,180,14.0,1.0,14.0,1,0,1,0,1,0
5,101,35.0,3.0,105.0,1,0,0,1,0,1
5,125,39.5,9.0,355.5,0,0,1,0,1,0
6,190,15.5,8.0,124.0,1,1,0,0,0,1
4,156,9.5,3.0,28.5,0,1,0,0,1,0
0,32,24.5,2.0,49.0,1,0,1,0,1,0
7,159,9.5,5.0,47.5,1,1,0,0,0,1
7,23,21.5,9.0,193.5,1,1,0,0,1,0
6,158,9.5,4.0,38.0,1,0,0,1,0,1
2,178,14.0,1.0,14.0,1,0,0,1,0,1
3,155,9.5,8.0,76.0,1,1,0,0,1,0
3,171,12.5,1.0,12.5,1,0,1,0,1,0
1,97,35.0,4.0,140.0,0,1,0,0,1,0
4,12,20.0,6.0,120.0,1,1,0,0,0,1
4,68,30.5,6.0,183.0,1,0,1,0,1,0
4,92,33.5,10.0,335.0,0,1,0,0,0,1
7,55,27.5,6.0,165.0,0,1,0,0,1,0
4,68,30.5,10.0,305.0,1,1,0,0,0,1
2,130,41.0,1.0,41.0,0,1,0,0,1,0
1,185,15.5,10.0,155.0,0,0,0,1,1,0
2,2,18.5,5.0,92.5,0,1,0,0,0,1
1,137,6.5,3.0,19.5,0,0,0,1,1,0
5,133,41.0,7.0,287.0,0,0,0,1,1,0
5,165,11.0,3.0,33.0,0,0,1,0,1,0
1,185,15.5,7.0,108.5,1,0,1,0,1,0
